EMA_Short,EMA_Long,RSI,OBV,MACD,Weekly_Price
168.6645,167.9879,44.8324,94570132662.0,0.6766000000000076,161.79
168.9794,168.0503,49.8726,94655015086.0,0.9291000000000054,165.29
168.9893,168.0152,49.5602,94742242854.0,0.9740999999999927,170.09
169.02200000000002,167.9848,41.3574,94809960964.0,1.0371999999999844,174.31
169.5938,168.1058,38.7194,94742237131.0,1.4879999999999995,174.72
170.4043,168.2766,51.3926,94811261072.0,2.1277000000000044,163.98
170.3735,168.18099999999998,43.3472,94886590448.0,2.1924999999999955,154.73
170.7997,168.2133,44.6443,94815971523.0,2.5863999999999976,163.17
171.1968,168.2212,46.0012,94736706342.0,2.9755999999999863,164.85
171.55200000000002,168.2012,52.3757,94808953048.0,3.3507999999999925,167.3
171.5195,168.0551,51.1453,94885528556.0,3.4643999999999835,168.64
171.5708,167.9284,53.5556,94807933906.0,3.6423999999999808,172.39
171.4581,167.7475,65.4458,94896992688.0,3.7106,170.1129
170.595,167.3495,61.0041,94967895687.0,3.2454999999999927,162.203
170.0271,167.0548,60.1546,94891349704.0,2.9722999999999904,172.8494
169.4553,166.7701,69.8125,94970101032.0,2.6851999999999805,171.9506
168.2574,166.3182,71.7444,95073150317.0,1.9392,177.3437
166.7871,165.81900000000002,69.7722,95165783471.0,0.968100000000021,176.0553
165.3724,165.3752,64.3264,95065194031.0,-0.0028000000000076852,170.9219
164.4013,165.0979,68.5301,94974822115.0,-0.6966000000000179,179.2213
163.0472,164.7395,65.1499,94894540451.0,-1.6922999999999888,161.6337
161.9025,164.4815,61.0509,94804409033.0,-2.579000000000008,156.6101
161.0329,164.3383,57.4088,94706346359.0,-3.3053999999999917,160.3454
160.3933,164.2904,54.3077,94625366604.0,-3.897099999999994,149.7988
159.94799999999998,164.3223,49.3268,94536337335.0,-4.374300000000005,151.0872
159.8677,164.4779,45.9695,94414281800.0,-4.610199999999992,149.3918
160.0474,164.7174,43.1882,94338666424.0,-4.669999999999988,148.2848
160.4756,165.0304,30.493000000000002,94236366267.0,-4.5548,144.4453
161.8436,165.6071,31.0515,94143401965.0,-3.7634999999999934,142.5106
163.3284,166.185,40.024,94252134076.0,-2.8566000000000145,142.2613
163.9567,166.4811,41.8729,94349104178.0,-2.5243999999999858,146.5197
164.4934,166.7374,43.6967,94454446211.0,-2.244,145.662
164.9246,166.9522,38.6922,94362991306.0,-2.0276000000000067,148.5641
165.7966,167.2842,44.8238,94494139586.0,-1.4875999999999865,153.8796
166.1447,167.4443,46.4735,94590558431.0,-1.299599999999998,148.1951
166.3811,167.5649,52.6118,94674378023.0,-1.1837999999999909,147.7862
166.0827,167.528,46.0358,94751056464.0,-1.4453000000000031,148.6937
166.3245,167.6561,46.4696,94671331714.0,-1.3316000000000088,145.7418
166.5573,167.7769,43.9197,94754806139.0,-1.2196000000000142,145.2439
167.0569,167.9695,44.8367,94659749510.0,-0.9125999999999976,147.9325
167.5165,168.138,24.3025,94567775288.0,-0.6214999999999975,145.7717
169.6503,168.773,39.5549,94426627748.0,0.8772999999999911,144.4971
170.2374,168.905,38.0427,94516636995.0,1.3324000000000071,139.3688
170.9885,169.0652,47.2346,94607094632.0,1.923299999999984,132.5478
171.1554,169.0344,49.9501,94689867306.0,2.120999999999981,129.909
171.1733,168.9529,51.7652,94759456650.0,2.220400000000012,126.8121
171.0767,168.8347,50.0107,94820634048.0,2.2419999999999902,125.3583
171.0919,168.7475,42.2808,94756347728.0,2.3444000000000083,124.0837
171.6236,168.8037,52.3111,94670162198.0,2.8199000000000183,124.9002
171.5227,168.6598,56.7312,94768832885.0,2.862899999999996,126.9117
171.1488,168.4361,61.681000000000004,94859698784.0,2.712699999999984,129.66
170.4487,168.1254,53.4055,94788413746.0,2.323299999999989,130.6839
170.2656,167.9782,56.2661,94713584529.0,2.2874000000000194,133.52700000000002
169.895,167.77900000000002,53.9478,94790835733.0,2.1160000000000143,133.368
169.64,167.6198,60.2241,94873301133.0,2.0201999999999884,132.2099
168.9803,167.3488,60.8787,94962719207.0,1.6314999999999884,122.2739
168.1886,167.05599999999998,59.7878,94877804951.0,1.1325999999999965,120.4944
167.3886,166.7812,53.7014,94964018862.0,0.6073999999999842,119.2816
167.0237,166.6522,45.0496,94848477272.0,0.3714999999999975,120.3155
167.2416,166.6993,37.3278,94668541612.0,0.5423000000000116,120.7032
167.9557,166.8812,38.9129,94790496250.0,1.0745000000000005,120.5441
168.622,167.0277,26.8841,94898771558.0,1.5943000000000045,129.1033
170.0283,167.3644,28.0269,95014569925.0,2.6639000000000124,134.5708
171.4872,167.6725,33.4323,95177276611.0,3.814699999999988,135.9526
172.5275,167.81400000000002,37.2009,95300125469.0,4.7135000000000105,130.9846
173.3504,167.8568,42.2471,95391545984.0,5.493600000000013,138.0421
173.8599,167.7781,44.9936,95484460776.0,6.081800000000015,126.2003
174.2269,167.6347,44.6289,95574961012.0,6.592199999999992,131.07399999999998
174.6705,167.4924,52.8692,95494520232.0,7.1781000000000015,131.7092
174.544,167.1633,53.5507,95579025992.0,7.380700000000019,130.9946
174.3509,166.8069,46.6313,95504220819.0,7.543999999999982,125.7188
174.6724,166.5908,39.7433,95428283134.0,8.081600000000009,121.5052
175.5021,166.498,46.0308,95321517582.0,9.004100000000024,121.3464
175.9068,166.2461,45.6449,95234808435.0,9.660699999999991,115.7282
176.3963,165.9916,59.5941,95331712390.0,10.404699999999991,116.4727
175.9699,165.4451,67.7365,95426249992.0,10.5248,118.3785
175.0517,164.7532,59.898999999999994,95525560430.0,10.298500000000018,117.8127
174.6872,164.2287,60.6029,95420859210.0,10.458499999999988,107.8691
174.2343,163.6724,64.2962,95482520643.0,10.56189999999998,113.9928
173.519,163.037,64.0972,95542293657.0,10.482,117.9366
172.7215,162.3813,66.0624,95479944726.0,10.340199999999982,115.9052
171.6916,161.665,62.1979,95559089065.0,10.026600000000002,111.9912
170.9534,161.0448,60.5751,95484169483.0,9.90859999999998,111.2579
170.2859,160.4496,56.7754,95415812916.0,9.836299999999994,105.8675
169.924,159.9448,54.6988,95323677613.0,9.979200000000018,110.9805
169.7222,159.4798,49.9237,95232491708.0,10.242399999999977,119.8589
169.9589,159.1294,52.4296,95339990822.0,10.829499999999996,123.6714
169.9939,158.6974,70.4691,95535914263.0,11.296500000000007,123.2379
168.7,157.8666,65.7372,95686100106.0,10.833399999999983,113.8615
167.8162,157.1719,66.057,95555036849.0,10.644300000000015,110.1011
166.7861,156.4431,80.8963,95694417231.0,10.343000000000018,105.0988
164.7721,155.4455,76.0085,95847654250.0,9.326599999999985,91.6029
163.3136,154.6481,75.7296,95732251519.0,8.665500000000009,95.2749
161.6888,153.8302,73.0689,95841175258.0,7.8585999999999965,94.8718
160.2293,153.0924,69.8123,95724176357.0,7.136899999999998,90.0328
158.9957,152.4487,63.5769,95603771005.0,6.546999999999998,87.4414
158.2692,151.9739,63.1912,95496274023.0,6.295300000000026,86.4746
157.4776,151.4907,54.7495,95614297139.0,5.9868999999999915,83.7744
157.3268,151.2033,83.1471,95751036313.0,6.123499999999979,81.9694
155.9069,150.5477,71.9078,95903459316.0,5.359200000000016,78.6164
155.3534,150.1708,70.4525,95729411260.0,5.1825999999999794,78.8513
154.8087,149.8036,71.5096,95640663043.0,5.005099999999999,76.0869
154.1582,149.4135,77.9025,95717622795.0,4.744699999999996,76.6853
153.2458,148.9591,79.91,95648159172.0,4.286699999999996,71.2893
152.1503,148.4712,82.8171,95552117273.0,3.679099999999977,69.7849
150.8183,147.9404,77.5204,95434649384.0,2.8778999999999826,69.743
149.8711,147.5523,69.1541,95317343787.0,2.3188000000000097,66.0906
149.3506,147.309,59.8979,95179516114.0,2.0415999999999883,59.5356
149.1432,147.1664,55.1959,95090709114.0,1.9767999999999968,61.0967
149.0567,147.061,57.6766,95031452904.0,1.9957,56.5343
148.8965,146.9338,48.229,94972230101.0,1.9627000000000123,68.5519
148.9901,146.8804,51.0298,94908984904.0,2.109700000000004,71.2794
149.0216,146.8033,56.9867,94949984854.0,2.2183,67.415
148.9062,146.6798,58.0218,95015171946.0,2.2264000000000124,77.2031
148.7488,146.5439,65.1854,94958598497.0,2.2048999999999808,80.1379
148.3962,146.3532,68.1912,95013619365.0,2.0430000000000064,78.9245
147.9247,146.1351,66.6633,94948155482.0,1.7896000000000072,76.1469
147.4615,145.9297,63.0861,95008550098.0,1.5318000000000045,78.3119
147.1017,145.7644,57.056999999999995,94954038564.0,1.337299999999999,78.4153
146.937,145.6627,58.6773,94885116190.0,1.2743000000000109,76.3487
146.7024,145.5437,51.9951,94958512741.0,1.1587000000000105,73.1749
146.6865,145.4918,66.168,95083465909.0,1.1946999999999832,71.2978
146.2971,145.3318,64.63600000000001,94983388021.0,0.9653000000000134,68.749
145.9177,145.184,64.5418,95039482950.0,0.7336999999999989,67.6935
145.4884,145.0314,62.5982,94978589555.0,0.4570000000000221,66.6012
145.0903,144.899,67.7951,95029310111.0,0.1913000000000125,65.7499
144.4915,144.7201,65.5525,95088193554.0,-0.2286000000000001,64.4042
143.9325,144.5698,65.2805,95026772564.0,-0.637299999999982,65.3834
143.3093,144.4177,61.0255,94968353776.0,-1.108399999999989,64.0007
142.8378,144.3283,49.2073,94891974882.0,-1.4905000000000257,62.7516
142.8069,144.3803,50.4628,94806385707.0,-1.5733999999999924,60.4851
142.7253,144.4212,43.8808,94738445373.0,-1.6958999999999946,57.9904
142.8685,144.5313,40.1055,94668538273.0,-1.6627999999999759,57.9414
143.1569,144.6815,46.5285,94747300994.0,-1.5245999999999924,55.6847
143.2022,144.7567,42.5434,94820336853.0,-1.5544999999999902,53.6757
143.3907,144.874,48.5086,94884789072.0,-1.4832999999999856,53.4083
143.3555,144.9245,44.6597,94943562227.0,-1.5689999999999884,53.6585
143.4534,145.0165,26.313000000000002,94881829571.0,-1.56310000000002,52.3118
144.0767,145.2584,26.3568,94798608452.0,-1.1817000000000064,51.2031
144.7862,145.5094,31.7583,94717747390.0,-0.7231999999999914,49.7068
145.2737,145.6782,32.1237,94816069398.0,-0.40450000000001296,50.6536
145.8109,145.8482,36.9316,94721429817.0,-0.03729999999998768,49.302
146.1741,145.9535,30.612,94810486481.0,0.2206000000000188,49.8543
146.7588,146.1115,32.5352,94735884437.0,0.6473000000000013,50.7633
147.3158,146.2442,38.7752,94844856777.0,1.0715999999999894,49.5049
147.6361,146.292,39.3567,94919007506.0,1.3440999999999974,49.6784
147.9751,146.334,42.3335,94865529637.0,1.6410999999999945,49.9056
148.2214,146.3374,32.0553,94800691467.0,1.8839999999999857,48.3637
148.8165,146.4305,29.3776,94724287126.0,2.385999999999996,48.5739
149.5705,146.5486,28.7457,94648453164.0,3.0219000000000165,47.0979
150.4509,146.6768,41.7165,94771932027.0,3.7741000000000042,46.465
150.7418,146.6058,39.868,94901800851.0,4.136000000000024,42.7801
151.1284,146.5475,40.2307,94969835000.0,4.5808999999999855,43.7331
151.5532,146.4819,45.8267,94886553685.0,5.071300000000008,46.184
151.7836,146.3407,46.742,94995849980.0,5.442900000000009,48.1829
152.007,146.1824,64.97,94893445651.0,5.824600000000004,51.5419
151.6398,145.8397,67.6316,95034338886.0,5.800100000000015,49.7285
151.1502,145.4631,76.1714,95091644616.0,5.687100000000013,49.6214
150.3785,145.0105,71.857,95166064823.0,5.367999999999995,48.4068
149.7829,144.6212,68.7959,95083786562.0,5.1617000000000255,47.9516
149.2746,144.2653,69.4136,95025920496.0,5.009299999999996,46.2356
148.678,143.8904,66.8834,94954749179.0,4.787599999999999,46.5034
148.1444,143.5425,66.4754,94874435468.0,4.6019000000000005,45.3033
147.5587,143.1874,55.9632,94960888585.0,4.371299999999991,42.0879
147.4108,142.9667,50.1168,94869931862.0,4.4440999999999935,42.5893
147.4584,142.7989,53.7959,94814129474.0,4.659500000000008,42.1025
147.3887,142.5888,60.5043,94862726669.0,4.799900000000008,41.4818
147.1012,142.3107,59.3802,94921717966.0,4.790500000000009,41.4794
146.8238,142.0359,55.7945,94970324394.0,4.787900000000008,40.3596
146.6692,141.7963,52.9413,94910192584.0,4.872899999999987,38.2365
146.6165,141.5824,43.9166,94849642954.0,5.034099999999995,38.0086
146.8996,141.4578,66.7035,94762682644.0,5.4418000000000015,36.9107
146.5435,141.1339,69.6349,94849008634.0,5.409599999999983,35.9339
146.0754,140.7794,64.0263,94941238369.0,5.295999999999992,37.8656
145.7818,140.4794,66.8795,94837679587.0,5.302400000000006,36.5326
145.3843,140.1494,55.4643,94778833294.0,5.234899999999982,40.1076
145.3262,139.9191,54.7576,94705054181.0,5.407100000000013,40.8371
145.2796,139.6851,57.0264,94656560718.0,5.5944999999999805,43.2826
145.1708,139.4256,56.0171,94725583799.0,5.745200000000013,41.7581
145.0807,139.1654,56.7671,94774492488.0,5.915300000000002,46.9061
144.9564,138.8884,58.6959,94828619301.0,6.068000000000013,49.5576
144.756,138.5835,59.9945,94782221627.0,6.172500000000013,50.1117
144.4857,138.2543,55.5372,94838589898.0,6.231400000000009,52.2419
144.3845,137.9711,57.7175,94773803280.0,6.4133999999999975,52.9689
144.1906,137.6539,51.5554,94836683241.0,6.536699999999996,53.6452
144.2507,137.4043,52.6185,94766242615.0,6.8463999999999885,54.1717
144.2759,137.132,53.0218,94711919568.0,7.143900000000002,54.5219
144.287,136.8436,69.5679,94830850759.0,7.443399999999998,52.5704
143.6865,136.3682,67.7835,94935669337.0,7.318299999999994,54.063
143.1212,135.908,66.2759,94863235248.0,7.2132,53.4496
142.5776,135.4583,62.7578,94791787832.0,7.119299999999981,54.9784
142.186,135.0558,61.8598,94714449676.0,7.130200000000002,52.2081
141.7961,134.6534,57.1017,94789443136.0,7.142699999999992,52.5511
141.645,134.3187,58.0142,94693093100.0,7.326300000000002,50.1238
141.431,133.9585,75.6974,94814527671.0,7.472500000000025,50.0588
140.5164,133.3922,79.3,94907779097.0,7.124200000000003,45.9648
139.3603,132.7711,77.9176,95014599394.0,6.5892000000000035,46.0756
138.2011,132.1709,71.8845,94887548609.0,6.030200000000009,46.0491
137.4553,131.7117,82.7879,94786721510.0,5.7435999999999865,45.2404
136.2929,131.1452,78.0271,94863021229.0,5.147700000000015,44.5521
135.4566,130.6961,76.0075,94763130429.0,4.7605000000000075,44.5063
134.6672,130.2763,88.1989,94868705887.0,4.390900000000016,45.4498
133.487,129.7599,84.1414,94763794298.0,3.727100000000007,46.1381
132.6311,129.3632,80.3293,94655612505.0,3.2678999999999974,45.7867
131.9616,129.0385,77.4003,94576666933.0,2.9231000000000047,45.3872
131.3814,128.7534,76.3521,94524181152.0,2.6280000000000143,44.8409
130.7795,128.4742,72.7245,94460919759.0,2.305300000000017,45.3896
130.2865,128.2392,68.2814,94396363678.0,2.0472999999999786,44.0734
129.9207,128.0512,68.6434,94334252375.0,1.8695000000000164,38.9163
129.4957,127.8534,75.805,94405036121.0,1.6423000000000059,39.7315
128.869,127.6074,74.1369,94473747119.0,1.2616000000000014,41.8917
128.2496,127.3789,69.5856,94533961319.0,0.8706999999999852,40.3692
127.775,127.2077,63.0566,94459177701.0,0.5673000000000029,40.2254
127.4929,127.104,65.9096,94379514385.0,0.3889000000000067,39.5445
127.1122,126.9793,62.5225,94488467694.0,0.13290000000000646,42.6804
126.8066,126.8866,66.2322,94391746025.0,-0.0799999999999983,43.1503
126.3762,126.7669,64.8147,94300406674.0,-0.3907000000000096,42.2465
125.9454,126.6598,56.7613,94363153006.0,-0.7143999999999977,42.0763
125.7548,126.6345,50.5647,94266246516.0,-0.8796999999999997,41.3402
125.7204,126.6605,53.1696,94212724143.0,-0.940100000000001,37.4994
125.6114,126.6678,54.143,94283910564.0,-1.0563999999999965,38.3256
125.4598,126.6676,51.5817,94227032627.0,-1.2077999999999918,40.9547
125.3733,126.6921,49.803000000000004,94152628853.0,-1.3187999999999958,42.6143
125.3356,126.7352,40.137,94081571303.0,-1.3996000000000066,42.2871
125.5912,126.8654,42.2646,94006401960.0,-1.2741999999999931,41.7881
125.7966,126.9761,40.4001,94082631130.0,-1.1795000000000044,40.4103
126.0883,127.1076,42.8935,94023352268.0,-1.0193000000000012,41.7905
126.3078,127.2119,44.4042,94090989386.0,-0.9040999999999996,41.5421
126.48899999999999,127.3005,47.0524,94162300495.0,-0.8114999999999952,40.4437
126.5723,127.3575,48.5964,94256926096.0,-0.7852000000000032,40.8449
126.5942,127.3958,51.1329,94313502016.0,-0.8015999999999934,41.7809
126.4962,127.4005,45.8059,94385511498.0,-0.9042999999999921,40.6299
126.6417,127.479,50.7887,94322418553.0,-0.8372999999999989,41.7093
126.5506,127.4871,42.7714,94401713989.0,-0.9364999999999952,41.0431
126.8148,127.6008,35.1749,94324856866.0,-0.7860000000000014,38.7946
127.4112,127.8033,43.7621,94417468855.0,-0.3920999999999992,37.1767
127.6092,127.8759,44.51,94480811784.0,-0.26670000000000016,37.3528
127.7984,127.9408,42.5737,94555056408.0,-0.14239999999999498,36.9507
128.0958,128.0316,36.7544,94473138457.0,0.06419999999999959,36.6699
128.6732,128.194,32.398,94367277118.0,0.4792000000000201,36.1393
129.501,128.4109,32.5691,94479449400.0,1.0901000000000067,38.0404
130.4328,128.6327,45.2924,94605592226.0,1.8000999999999865,37.743
130.657,128.6232,49.536,94693663455.0,2.0338000000000136,39.0325
130.7084,128.5549,38.0076,94614690182.0,2.153500000000008,38.0356
131.2189,128.6129,41.5234,94536561848.0,2.6059999999999945,37.4741
131.6163,128.62,47.5349,94452560948.0,2.996299999999991,37.4693
131.7878,128.5467,50.3364,94590125666.0,3.241100000000017,37.0597
131.8632,128.436,49.5173,94514990566.0,3.4271999999999987,35.427
131.9862,128.3312,67.6226,94624830032.0,3.655000000000001,35.6094
131.4607,128.0319,61.8391,94775930985.0,3.4287999999999954,35.318000000000005
131.1669,127.80799999999999,65.238,94883691082.0,3.358899999999992,34.1663
130.7318,127.5466,64.7901,94949706886.0,3.1851999999999947,34.1284
130.26,127.2818,57.476000000000006,94882801817.0,2.978199999999987,34.6639
130.1001,127.1146,61.2501,94804045038.0,2.985500000000002,33.7137
129.7923,126.9048,59.3959,94888611494.0,2.887500000000017,35.3037
129.5371,126.714,71.4294,94819764358.0,2.8231000000000117,36.8369
128.8677,126.4075,68.1307,94914576707.0,2.4602000000000146,36.4009
128.3171,126.1498,72.0476,94820312492.0,2.167300000000012,36.2706
127.5757,125.8495,71.1403,94905234878.0,1.7261999999999915,36.991
126.7965,125.5564,76.3441,94815887776.0,1.2400999999999982,35.1551
125.7469,125.2059,72.26899999999999,94903110558.0,0.5409999999999968,33.9019
124.9025,124.9426,72.6294,94811844013.0,-0.04009999999999536,33.5763
123.926,124.6652,67.7015,94903263996.0,-0.7391999999999967,33.2883
123.1964,124.4869,65.9788,94796577293.0,-1.2905000000000086,33.8288
122.4832,124.3358,58.7021,94707732702.0,-1.8526000000000096,33.9043
122.1112,124.3051,61.2334,94624265986.0,-2.1939,33.1916
121.5909,124.24600000000001,54.2665,94544094733.0,-2.6550999999999902,33.0382
121.3698,124.2912,53.6681,94455443558.0,-2.9214000000000047,32.8376
121.1469,124.3468,47.7828,94380354424.0,-3.1998999999999995,32.9886
121.1776,124.4862,42.77,94262030598.0,-3.3085999999999984,32.2523
121.4314,124.6937,46.8147,94347702517.0,-3.2623000000000104,32.0304
121.5028,124.8473,42.6977,94266883314.0,-3.3445000000000107,31.1808
121.7689,125.0598,40.0973,94172812080.0,-3.2908999999999935,30.3328
122.1882,125.3139,48.0427,94073967399.0,-3.125700000000009,28.6573
122.2015,125.4453,49.4129,94162497884.0,-3.2438000000000082,28.1991
122.1443,125.5614,40.4165,94257965026.0,-3.417100000000005,27.9735
122.505,125.8039,39.0175,94146052742.0,-3.298900000000004,27.7079
122.9782,126.0738,45.711999999999996,94331602264.0,-3.0956000000000046,27.2168
123.0959,126.2337,48.6623,94453072019.0,-3.1377999999999986,27.3813
123.0642,126.3528,53.0042,94565004655.0,-3.2886000000000024,27.2521
122.7937,126.4097,40.6027,94449776719.0,-3.616,26.7774
123.0937,126.64299999999999,37.0848,94357186164.0,-3.5493000000000023,25.8257
123.5801,126.9268,41.8064,94445291214.0,-3.3466999999999985,26.2698
